trialsType,trialsNum,trialNum,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,instr1.started,instr1.stopped,fix.started,fix.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,trial3Mouse.x,trial3Mouse.y,trial3Mouse.leftButton,trial3Mouse.midButton,trial3Mouse.rightButton,trial3Mouse.time,trial3Mouse.started,trial3Mouse.stopped,trial3Target.started,trial3Target.stopped,trial3Home.started,trial3Home.stopped,trial3Cursor.started,trial3Cursor.stopped,trial3Num.started,trial3Num.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,1,0,0,0,0,,,,,,,,,,,,,11.357335699955001,None,11.899546900065616,None,"[-0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333]","[-0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.01550690014846623, 0.03405010001733899, 0.05941880005411804, 0.07689280016347766, 0.09388389997184277, 0.11019200016744435, 0.12677290011197329, 0.14351369999349117, 0.16018460015766323, 0.17684400011785328, 0.1934866001829505, 0.210137200076133, 0.22682860004715621, 0.24351090006530285, 0.2605957000050694]",12.987629699986428,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,12.987629699986428,None,12.987629699986428,None,12.987629699986428,None,12.987629699986428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,2,0,1,1,1,,,,,,,,,,,,,,,,,"[-0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333]","[-0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666, -0.15104166666666666]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004138999851420522, 0.015752800041809678, 0.034863000037148595, 0.05297559988684952, 0.06920369993895292, 0.0857980998698622, 0.10252940002828836, 0.11909960000775754, 0.13572939997538924, 0.15246249991469085, 0.1697033999953419]",13.243235799949616,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,13.243235799949616,None,13.243235799949616,None,13.243235799949616,None,13.243235799949616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,3,0,2,2,2,,,,,,,,,,,,,,,,,"[-0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.10677083333333333, -0.08723958333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.15104166666666666, -0.15104166666666666, -0.15234375, -0.15494791666666666, -0.15364583333333334, -0.08723958333333333, -0.041666666666666664, -0.048177083333333336, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004652600036934018, 0.016197900054976344, 0.042193599976599216, 0.05919610010460019, 0.07619100017473102, 0.09246199997141957, 0.10909080016426742, 0.12600890011526644, 0.14223590004257858, 0.15878530009649694, 0.17553540016524494]",13.420565000036731,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,13.420565000036731,None,13.420565000036731,None,13.420565000036731,None,13.420565000036731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,4,0,3,3,3,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00470000016503036, 0.015666899969801307, 0.026979299960657954, 0.04293560003861785, 0.05965210008434951, 0.07626700005494058, 0.09301010007038713, 0.10961810010485351, 0.12634390010498464, 0.14293370000086725, 0.15965960011817515, 0.17625160003080964, 0.19331849995069206]",13.6030449999962,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,13.6030449999962,None,13.6030449999962,None,13.6030449999962,None,13.6030449999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,5,0,4,4,4,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00891500012949109, 0.020037000067532063, 0.04084220016375184, 0.05814000009559095, 0.07480840012431145, 0.09117040014825761, 0.10813010018318892, 0.12472070008516312, 0.1413755000103265, 0.1584425000473857]",13.80892589990981,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,13.80892589990981,None,13.80892589990981,None,13.80892589990981,None,13.80892589990981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,6,0,5,5,5,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004590800032019615, 0.015277500031515956, 0.026044700061902404, 0.04214260005392134, 0.05897810007445514, 0.07591150002554059, 0.09217910002917051, 0.1088444001507014, 0.1255208000075072, 0.14217610005289316, 0.15888870018534362, 0.175485200015828, 0.1925247001927346]",13.970427599968389,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,13.970427599968389,None,13.970427599968389,None,13.970427599968389,None,13.970427599968389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,7,0,6,6,6,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0076564999762922525, 0.018966699950397015, 0.040871899807825685, 0.05879459995776415, 0.07517169998027384, 0.09156639990396798, 0.10828799987211823, 0.1249605999328196, 0.1416497000027448, 0.15878949989564717]",14.174195399973541,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,14.174195399973541,None,14.174195399973541,None,14.174195399973541,None,14.174195399973541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,8,0,7,7,7,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004356899997219443, 0.015775300096720457, 0.041297500021755695, 0.05875409999862313, 0.07568789995275438, 0.09179409989155829, 0.10861160000786185, 0.1252975999377668, 0.14200969994999468, 0.1589003000408411]",14.33724240004085,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,14.33724240004085,None,14.33724240004085,None,14.33724240004085,None,14.33724240004085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,9,0,8,8,8,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.007240300066769123, 0.018153399927541614, 0.04136510007083416, 0.05895869992673397, 0.07525509991683066, 0.09192549996078014, 0.10859719989821315, 0.12520909984596074, 0.14193139993585646, 0.15899889986030757]",14.506395699921995,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,14.506395699921995,None,14.506395699921995,None,14.506395699921995,None,14.506395699921995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
1,1,10,0,9,9,9,,,,,,,,,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333]","[-0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664, -0.049479166666666664]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0045090001076459885, 0.015340799931436777, 0.026513100136071444, 0.04250600002706051, 0.059265000047162175, 0.08007610007189214, 0.09265250014141202, 0.10909659997560084, 0.1258559999987483, 0.1423599999397993, 0.1596975999418646]",14.669916999991983,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,14.669916999991983,None,14.669916999991983,None,14.669916999991983,None,14.669916999991983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_24_1800,pAdaptTest2,2020.1.3,59.99048550638878,
